Id,URL,Headline,Author,Date
0,www.theverge.com/23361782/peloton-row-hands-on-rower-connected-fitness,Peloton Row hands-on: pretty much what you’d expect,Victoria Song,11:00 AM UTC
1,www.theverge.com/2022/9/13/23349876/the-verge-website-redesign-new-newsfeed-blogs-logo,Welcome to the new Verge,Nilay Patel,Sep 13
2,www.theverge.comhttps://www.theverge.com/2022/9/19/23360902/iphone-14-midframe-back-glass-redesign-teardown-fix-apple,Better on the inside,Adi Robertson,23 seconds ago
3,www.theverge.com/2022/9/7/23341368/apple-iphone-14-dual-esim-no-physical-sim,The iPhone 14 won’t have a SIM tray in the US,Nathan Edwards,Sep 11
4,www.theverge.com/2022/9/20/23360804/texas-fifth-circuit-ruling-hb20-supreme-court-speech-first-amendment-moderation,Texas has teed up a Supreme Court fight for the future of the internet,Adi Robertson,23 seconds ago
5,www.theverge.com/2022/9/20/23362010/ring-nation-mgm-amazon-mark-burnett-barry-poznick-civil-rights-cancel,Dozens of civil rights groups are calling on Amazon and MGM to cancel Ring Nation reality show,Charles Pulliam-Moore,An hour ago
6,www.theverge.com/2022/9/20/23362781/spotify-audiobooks-serial-adnan-syed-hot-pod-summit,Spotify now sells audiobooks,Ariel Shapiro,An hour ago
7,www.theverge.com/2022/9/20/23361643/amd-ryzen-athlon-7020-mobile-processor-announcement,AMD announces Ryzen 7020 mobile processors for ‘the everyday laptop’,Monica Chin,An hour ago
8,www.theverge.com/2022/9/19/23361833/serial-adnan-syed-murder-conviction-overturned,Adnan Syed freed after judge vacates murder conviction,Richard Lawler,Two hours ago
9,www.theverge.com/2022/9/20/23361717/slack-canvas-documents-messaging-google-notion,Slack’s new Canvas feature puts a document editor in your chat window,David Pierce,Two hours ago
10,www.theverge.com/2022/9/20/23362669/reason-why-people-hate-adobe-photoshop-airdrop-removed-file-sharing,Here’s another example of the frustrating ‘Adobe upsell’,Jess Weatherbed,Two hours ago
11,www.theverge.com/2022/9/20/23362648/nvidia-rtx-4080-40-series-live-stream-watch-start-time-how-to,How to watch Nvidia’s RTX 40-series announcement,Tom Warren,11:00 AM UTC
12,www.theverge.com/2022/9/20/23362631/openai-dall-e-ai-art-generator-edit-realistic-faces-safety,OpenAI’s image generator DALL-E can now edit human faces,James Vincent,9:57 AM UTC
13,www.theverge.com/2022/9/20/23362635/apple-app-store-price-increase-europe-asia,Apple to hike App Store prices across Europe and some parts of Asia next month,Tom Warren,9:13 AM UTC
14,www.theverge.com/2022/9/20/23356434/youtube-dislike-not-interested-buttons-bad-recommendations-mozilla-report,"YouTube’s ‘dislike’ and ‘not interested’ buttons barely work, study finds",Mia Sato,8:00 AM UTC
15,www.theverge.com/2022/9/19/23356855/xbox-series-x-game-disc-drm-online-check-in,Microsoft eased up on one DRM hurdle for disc games on Xbox,Mitchell Clark,12:25 AM UTC
16,www.theverge.com/2022/9/19/23360878/telegram-emoji-reactions-status-profile-link-update,Emoji statuses and ‘infinite’ reactions are among Telegram’s latest features,Umar Shakir,Sep 19
17,www.theverge.com/2022/9/19/23362054/gmail-political-spam-fundraising-email-campaign-google,Gmail will start spam-proofing political fundraising emails this week,Makena Kelly,Sep 19
18,www.theverge.com/2022/9/19/23361558/beyond-meat-coo-bites-human-nose,Beyond Meat COO reportedly attempts to consume human nose,Elizabeth Lopatto,Sep 19
19,www.theverge.com/2022/9/19/23361764/nasa-mars-insight-meteoroid-impact-bloop,Here’s what it sounds like when Mars gets smacked by a space rock,Mary Beth Griggs,Sep 19
20,www.theverge.com/2022/9/19/23361606/apple-iphone-14-pro-max-camera-shake-fix-update,Apple’s fixing the iPhone 14 Pro’s camera shake,Mitchell Clark,Sep 19
21,www.theverge.com/2022/9/19/23361358/oneplus-10-pro-5g-att-certification,OnePlus’ flagship phone finally works on all major 5G networks in the US,Allison Johnson,Sep 19
22,www.theverge.com/2022/9/19/23357145/twitters-alt-text-reminders-expansion-image-descriptions-accessibility,Twitter’s latest feature is a tool to make your feed more accessible,Mia Sato,Sep 19
23,www.theverge.com/2022/9/19/23361511/uber-hack-blame-lapsus-gta-vi-rockstar,Uber blames Lapsus$ hacking group for security breach,Andrew J. Hawkins,Sep 19
24,www.theverge.com/2022/9/19/23360049/metal-hellsinger-game-steam,Metal: Hellsinger might be the only rhythm game I’m good at,Alice Newcome-Beill,Sep 19
25,www.theverge.com/2022/9/19/23361399/sony-playstation-5-redesign-detachable-disc-drive,Sony’s first major PS5 redesign will reportedly have a detachable disc drive,Mitchell Clark,Sep 19
26,www.theverge.com/2022/9/19/23360967/hurricane-season-atlantic-pacific-typhoon-puerto-rico-fiona-alaska-merbok,"Storm season is in full swing in the US, from Alaska to Puerto Rico",Justine Calma,Sep 19
